raw_mass	peak_height	KEGG_mass(original)	npossible	KEGG_mass (Addukt)	ppm	KEGG_cid	KEGG_formula	KEGG_name	uniqueID
105.02946	2.71524e+05	104.022183533119	1(1)	105.029468463401	-0.0805812102837196	C01010	C2H4N2O3	Urea-1-carboxylate;Allophanate;Allophanic acid ([M+H]+)	
105.11489	2.44350e+05	104.107613533119	1(2)	105.114815540201	0.708365855771897	C00114	C5H14NO	Choline;Bilineurine ([M+H]+)	
105.11489	2.44350e+05	104.107613533119	2(2)	105.114815540201	0.708365855771897	HMDB00097	C5H14NO	Choline (see KEGG C00114); 2-hydroxyethyl-trimethyl-ammonium [cation] ([M+H]+)	
108.94834	2.40255e+05	107.941063533119	1(1)	108.948361951441	-0.20148485969723	C12218	C2FeN2	Fe(CN)2;Iron cyanide (Fe(CN)2) ([M+H]+)	
109.00509	3.10712e+05	70.0419305799093	1(2)	109.005024232071	0.603347320767142	C06146	C4H6O	3-Butyn-1-ol ([M+K39]+)	
109.00509	3.10712e+05	70.0419305799093	2(2)	109.005024232071	0.603347320767142	C17721	C4H6O	Vinyl ether ([M+K39]+)	
110.02091	2.84093e+05	109.013633533119	1(1)	110.020974725031	-0.58829754266989	C06550	C2H5AsO5	Arsonoacetate ([M+H]+)	
110.09404	2.52674e+05	87.1048192990393	1(1)	110.094020122651	0.180548819937073	C02640	C5H13N	3-Methylbutanamine;Isoamylamine;Isopentylamine ([M+Na]+)	
110.97636	2.94461e+05	109.969083533119	1(3)	110.976281959161	0.703220388558266	C06609	C3H4Cl2	trans-1,3-Dichloropropene;trans-3-Chloroallyl chloride ([M+H]+)	
110.97636	2.94461e+05	109.969083533119	2(3)	110.976281959161	0.703220388558266	C06610	C3H4Cl2	cis-1,3-Dichloropropene ([M+H]+)	
110.97636	2.94461e+05	109.969083533119	3(3)	110.976281959161	0.703220388558266	HMDB13592	C3H4Cl2	1,3-Dichloropropene (see KEGG C06609); (E)-1,3-dichloroprop-1-ene [alkene] ([M+H]+)	
112.02711	2.84481e+05	73.0639505799093	1(2)	112.027156658921	-0.416496694485355	C02294	C2H7N3	Methylguanidine ([M+K39]+)	
112.02711	2.84481e+05	73.0639505799093	2(2)	112.027156658921	-0.416496694485355	HMDB01522	C2H7N3	Methylguanidine (see KEGG C02294); 2-methylguanidine [guanidine] ([M+K39]+)	
112.04817	2.86561e+05	89.0589492990393	1(1)	112.048132559351	0.334147795500428	C06383	C2H7N3O	N-(Aminomethyl)urea ([M+Na]+)	
112.0506	2.65869e+05	111.043323533119	1(2)	112.050538261131	0.55099097200193	C00380	C4H5N3O	Cytosine ([M+H]+)	
112.0506	2.65869e+05	111.043323533119	2(2)	112.050538261131	0.55099097200193	HMDB00630	C4H5N3O	Cytosine (see KEGG C00380); 4-amino-2(1H)-pyrimidinone [primary amine] ([M+H]+)	
112.0518	2.50165e+05	111.044523533119	1(1)	112.051880930491	-0.722259624521886	C16200	C6H7BO2	Phenylboronic acid;Benzeneboronic acid ([M+H]+)	
113.02092	3.17524e+05	90.0316992990393	1(16)	113.020914752061	0.0464333417273239	C00184	C3H6O3	Glycerone;Dihydroxyacetone;1,3-Dihydroxyacetone;1,3-Dihydroxy-2-propanone;1,3-Dihydroxypropan-2-one ([M+Na]+)	
113.02092	3.17524e+05	90.0316992990393	2(16)	113.020914752061	0.0464333417273239	C00186	C3H6O3	(S)-Lactate;L-Lactate;L-Lactic acid ([M+Na]+)	
113.02092	3.17524e+05	90.0316992990393	3(16)	113.020914752061	0.0464333417273239	C00256	C3H6O3	(R)-Lactate;D-Lactate;D-Lactic acid;D-2-Hydroxypropanoic acid;D-2-Hydroxypropionic acid ([M+Na]+)	
113.02092	3.17524e+05	90.0316992990393	4(16)	113.020914752061	0.0464333417273239	C00577	C3H6O3	D-Glyceraldehyde ([M+Na]+)	
113.02092	3.17524e+05	90.0316992990393	5(16)	113.020914752061	0.0464333417273239	C01013	C3H6O3	3-Hydroxypropanoate;3-Hydroxypropanoic acid;3-Hydroxypropionate;3-Hydroxypropionic acid;Hydracrylic acid ([M+Na]+)	
