raw_mass	peak_height	KEGG_mass(original)	npossible	KEGG_mass (Addukt)	ppm	KEGG_cid	KEGG_formula	KEGG_name	uniqueID
103.98713	1.10946e+05	65.0239705799093	1(2)	103.987028439121	0.976667775988179	C07294	CH5AsO3	Methylarsonate;Methylarsonic acid ([M+K39]+)	
103.98713	1.10946e+05	65.0239705799093	2(2)	103.987028439121	0.976667775988179	HMDB12258	CH5AsO3	Methylarsonate (see KEGG C07294); methylarsonic acid [unclassified substance] ([M+K39]+)	
104.04955	1.14253e+05	103.042273533119	1(1)	104.049475632011	0.714736286708922	C09814	C7H5N	Benzonitrile;Phenyl cyanide;Cyanobenzene ([M+H]+)	
104.95845	1.25815e+05	65.9952905799093	1(2)	104.958467962471	-0.171138874532893	C05697	H2SeO4	Selenate;Selenic acid ([M+K39]+)	
104.95845	1.25815e+05	65.9952905799093	2(2)	104.958467962471	-0.171138874532893	HMDB12260	H2MoO4	Molybdate [unclassified substance] ([M+K39]+)	
105.95869	1.08059e+05	65.9952395799093	1(2)	105.958758962471	-0.650842993534944	C05697	H2SeO4	Selenate;Selenic acid ([M+K40]+)	
105.95869	1.08059e+05	65.9952395799093	2(2)	105.958758962471	-0.650842993534944	HMDB12260	H2MoO4	Molybdate [unclassified substance] ([M+K40]+)	
105.9852	1.14247e+05	65.0239235799093	1(2)	105.985145439121	0.514797150995434	C07294	CH5AsO3	Methylarsonate;Methylarsonic acid ([M+K41]+)	
105.9852	1.14247e+05	65.0239235799093	2(2)	105.985145439121	0.514797150995434	HMDB12258	CH5AsO3	Methylarsonate (see KEGG C07294); methylarsonic acid [unclassified substance] ([M+K41]+)	
106.98928	1.18660e+05	68.0261205799093	1(3)	106.989374167931	-0.880162302337648	C06145	C4H4O	3-Butyn-1-al ([M+K39]+)	
106.98928	1.18660e+05	68.0261205799093	2(3)	106.989374167931	-0.880162302337648	C14275	C4H4O	Furan ([M+K39]+)	
106.98928	1.18660e+05	68.0261205799093	3(3)	106.989374167931	-0.880162302337648	HMDB06853	C4H4O	3-Butyn-1-al (see KEGG C06145); (4-chlorophenyl)-phenylmethanol [aldehyde] ([M+K39]+)	
108.96855	1.13248e+05	70.0053905799093	1(2)	108.968638723351	-0.814210623273703	C00804	C3H2O2	Propynoate;Propiolic acid;Acetylenecarboxylic acid;Acetylenemonocarboxylate ([M+K39]+)	
108.96855	1.13248e+05	70.0053905799093	2(2)	108.968638723351	-0.814210623273703	HMDB06804	C3H2O2	Propynoic acid (see KEGG C00804) [carboxylic acid] ([M+K39]+)	
111.0528	1.19448e+05	88.0635792990393	1(2)	111.052883586641	-0.752674772695228	C03803	C3H7N2OR	R replaced by H in Ribosomal-protein L-alanine;Ribosomal-protein N-terminal-L-alanine ([M+Na]+)	
111.0528	1.19448e+05	88.0635792990393	2(2)	111.052883586641	-0.752674772695228	C16364	C3H8N2O	N,N'-Dimethylurea;1,3-Dimethylurea ([M+Na]+)	
111.05299	1.07601e+05	88.0637692990393	1(2)	111.052883586641	0.958221466995942	C03803	C3H7N2OR	R replaced by H in Ribosomal-protein L-alanine;Ribosomal-protein N-terminal-L-alanine ([M+Na]+)	
111.05299	1.07601e+05	88.0637692990393	2(2)	111.052883586641	0.958221466995942	C16364	C3H8N2O	N,N'-Dimethylurea;1,3-Dimethylurea ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	1(9)	111.078035705361	0.128690042734614	C07328	C5H12O	3-Methylbutanol;Isoamyl alcohol;Isopentyl alcohol ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	2(9)	111.078035705361	0.128690042734614	C11344	C5H12O	Methyl tert-butyl ether;tert-Butyl methyl ether ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	3(9)	111.078035705361	0.128690042734614	C16834	C5H12O	1-Pentanol ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	4(9)	111.078035705361	0.128690042734614	HMDB06007	C5H12O	Isopentanol (see KEGG C07328); 3-methylbutan-1-ol [primary alcohol] ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	5(9)	111.078035705361	0.128690042734614	HMDB13036	C5H12O	1-Pentanol; pentan-1-ol [primary alcohol] ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	6(9)	111.078035705361	0.128690042734614	LMFA05000102	C5H12O	2R-Methylbutan-1-ol [Fatty alcohols [FA05]] ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	7(9)	111.078035705361	0.128690042734614	LMFA05000104	C5H12O	2-Methylbutan-1-ol [Fatty alcohols [FA05]] ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	8(9)	111.078035705361	0.128690042734614	LMFA05000108	C5H12O	3-Methylbutan-1-ol [Fatty alcohols [FA05]] ([M+Na]+)	
111.07805	1.21474e+05	88.0888292990393	9(9)	111.078035705361	0.128690042734614	LMFA05000112	C5H12O	Pentan-1-ol [Fatty alcohols [FA05]] ([M+Na]+)	
111.90401	1.11217e+05	88.9147892990393	1(1)	111.904054207031	-0.395044207940675	C00824	FeHS	Iron-sulfur ([M+Na]+)	
112.96364	1.17435e+05	74.0004805799093	1(3)	112.963553342911	0.767123731137616	C00048	C2H2O3	Glyoxylate;Glyoxalate;Glyoxylic acid ([M+K39]+)	
112.96364	1.17435e+05	74.0004805799093	2(3)	112.963553342911	0.767123731137616	C00161	C2HO3R	R replaced by H in 2-Oxo acid;2-Oxocarboxylate ([M+K39]+)	
112.96364	1.17435e+05	74.0004805799093	3(3)	112.963553342911	0.767123731137616	HMDB00119	C2H2O3	Glyoxylic acid (see KEGG C00048); oxo-Acetic acid [aldehyde] ([M+K39]+)	
113.02091	1.65573e+05	90.0316892990393	1(16)	113.020914752061	-0.0420458568461146	C00184	C3H6O3	Glycerone;Dihydroxyacetone;1,3-Dihydroxyacetone;1,3-Dihydroxy-2-propanone;1,3-Dihydroxypropan-2-one ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	2(16)	113.020914752061	-0.0420458568461146	C00186	C3H6O3	(S)-Lactate;L-Lactate;L-Lactic acid ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	3(16)	113.020914752061	-0.0420458568461146	C00256	C3H6O3	(R)-Lactate;D-Lactate;D-Lactic acid;D-2-Hydroxypropanoic acid;D-2-Hydroxypropionic acid ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	4(16)	113.020914752061	-0.0420458568461146	C00577	C3H6O3	D-Glyceraldehyde ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	5(16)	113.020914752061	-0.0420458568461146	C01013	C3H6O3	3-Hydroxypropanoate;3-Hydroxypropanoic acid;3-Hydroxypropionate;3-Hydroxypropionic acid;Hydracrylic acid ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	6(16)	113.020914752061	-0.0420458568461146	C01432	C3H6O3	Lactate;Lactic acid;2-Hydroxypropanoic acid;2-Hydroxypropionic acid ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	7(16)	113.020914752061	-0.0420458568461146	C02154	C3H6O3	Glyceraldehyde;2,3-Dihydroxypropionaldehyde;2,3-Dihydroxypropanal;Glycerose;Aldotriose ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	8(16)	113.020914752061	-0.0420458568461146	C02319	C3H5O3R	R replaced by H in R-CHOH-CO-CH2OH ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	9(16)	113.020914752061	-0.0420458568461146	C02426	C3H6O3	L-Glyceraldehyde;L-2,3-Dihydroxypropionaldehyde;L-2,3-Dihydroxypropanal;L-Glycerose;L-Aldotriose ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	10(16)	113.020914752061	-0.0420458568461146	C02446	C3H5O3R	R replaced by H in O-Alkylglycerone ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	11(16)	113.020914752061	-0.0420458568461146	C03834	C3H5O3R	R replaced by H in 3-Hydroxymonocarboxylic acid ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	12(16)	113.020914752061	-0.0420458568461146	HMDB00190	C3H6O3	L-Lactic acid (see KEGG C00186); (2S)-2-hydroxypropanoic acid [secondary alcohol] ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	13(16)	113.020914752061	-0.0420458568461146	HMDB00700	C3H6O3	Hydroxypropionic acid (see KEGG C01013); 3-hydroxy-propanoic acid [primary alcohol] ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	14(16)	113.020914752061	-0.0420458568461146	HMDB01051	C3H6O3	Glyceraldehyde (see KEGG C02154); 2,3-dihydroxypropanal [aldehyde] ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	15(16)	113.020914752061	-0.0420458568461146	HMDB01311	C3H6O3	D-Lactic acid (see KEGG C00256); (2R)-2-hydroxypropanoic acid [secondary alcohol] ([M+Na]+)	
113.02091	1.65573e+05	90.0316892990393	16(16)	113.020914752061	-0.0420458568461146	HMDB01882	C3H6O3	Dihydroxyacetone (see KEGG C00184); 1,3-dihydroxypropan-2-one [ketone] ([M+Na]+)	
114.97275	1.11985e+05	76.0095905799093	1(1)	114.972678556931	0.621391321020525	C14415	CH4N2S	Thiourea ([M+K39]+)	
115.0366	1.46708e+05	92.0473792990393	1(3)	115.036564816201	0.305848738695283	C00116	C3H8O3	Glycerol;Glycerin;1,2,3-Trihydroxypropane;1,2,3-Propanetriol ([M+Na]+)	
115.0366	1.46708e+05	92.0473792990393	2(3)	115.036564816201	0.305848738695283	C02773	C3H7O3R	R replaced by H in 1-Alkyl-sn-glycerol;1-O-Alkyl-sn-glycerol ([M+Na]+)	
115.0366	1.46708e+05	92.0473792990393	3(3)	115.036564816201	0.305848738695283	HMDB00131	C3H8O3	Glycerol (see KEGG C00116); 1,2,3-Propanetriol [primary alcohol] ([M+Na]+)	
115.0575	1.47744e+05	114.050223533119	1(1)	115.057597786581	-0.84989314902855	C08370	C6H10S	Diallyl sulfide;Allyl sulfide ([M+H]+)	
115.07538	1.17966e+05	114.068103533119	1(22)	115.075356026701	0.208326915748192	C01147	C6H10O2	2-Hydroxycyclohexan-1-one ([M+H]+)	
115.07538	1.17966e+05	114.068103533119	2(22)	115.075356026701	0.208326915748192	C01880	C6H10O2	6-Hexanolide;1-Oxa-2-oxocycloheptane;epsilon-Caprolactone;2-Oxepanone;hexano-6-lactone ([M+H]+)	
115.07538	1.17966e+05	114.068103533119	3(22)	115.075356026701	0.208326915748192	C03228	C6H10O2	3-Hydroxycyclohexanone ([M+H]+)	
115.07538	1.17966e+05	114.068103533119	4(22)	115.075356026701	0.208326915748192	HMDB00453	C6H10O2	Delta-Hexanolactone; 6-methyloxan-2-one [carboxylic acid ester] ([M+H]+)	
115.07538	1.17966e+05	114.068103533119	5(22)	115.075356026701	0.208326915748192	HMDB03843	C6H10O2	Gamma-Caprolactone; 5-ethyloxolan-2-one [carboxylic acid ester] ([M+H]+)	
115.07538	1.17966e+05	114.068103533119	6(22)	115.075356026701	0.208326915748192	HMDB10719	C6H10O2	trans-Hex-2-enoic acid; (2E)-hex-2-enoic acid [carboxylic acid] ([M+H]+)	
115.07538	1.17966e+05	114.068103533119	7(22)	115.075356026701	0.208326915748192	LMFA01020031	C6H10O2	Pyroterebic acid; 4-methyl-3-pentenoic acid [Branched fatty acids [FA0102]] ([M+H]+)	
115.07538	1.17966e+05	114.068103533119	8(22)	115.075356026701	0.208326915748192	LMFA01020098	C6H10O2	4-methyl-4-pentenoic acid [Branched fatty acids [FA0102]] ([M+H]+)	
