"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count" "FoldEnrichment"
"GO:0010586" "miRNA metabolic process" "7/28" "61/8874" 5.38280790344739e-10 2.3722809424065e-07 1.43048991742412e-07 "RELA/JUN/FOS/ETS1/SMAD3/STAT3/GATA3" 7 36.3688524590164
"GO:0006954" "inflammatory response" "11/28" "295/8874" 5.90854531109963e-10 2.3722809424065e-07 1.43048991742412e-07 "CHUK/IKBKB/NFKBIA/RELA/IKBKG/JUN/FOS/ETS1/SMAD3/STAT3/GATA3" 11 11.8176755447942
"GO:0071356" "cellular response to tumor necrosis factor" "8/28" "115/8874" 1.55856835034353e-09 4.17176795108617e-07 2.51558400406324e-07 "CHUK/IKBKB/NFKBIA/RELA/FOS/BRCA1/STAT1/GATA3" 8 22.0472049689441
"GO:0009615" "response to virus" "9/28" "236/8874" 2.54085075856596e-08 4.08060631825693e-06 2.46061336619019e-06 "CHUK/IKBKB/RELA/IKBKG/BCL3/SMAD3/STAT1/GATA3/CDK6" 9 12.0862590799031
"GO:0050678" "regulation of epithelial cell proliferation" "8/28" "194/8874" 9.65021791173564e-08 1.0909526661389e-05 6.5784653132843e-06 "JUN/SP1/NR4A1/SMAD3/STAT1/STAT3/GATA3/CDK6" 8 13.0692194403535
"GO:0001819" "positive regulation of cytokine production" "8/28" "197/8874" 1.08687687784697e-07 1.0909526661389e-05 6.5784653132843e-06 "CHUK/RELA/BCL3/BRCA1/SMAD3/STAT1/STAT3/GATA3" 8 12.8701957940537
"GO:1901652" "response to peptide" "9/28" "285/8874" 1.29440738655366e-07 1.15489903489176e-05 6.96406313233547e-06 "NFKBIA/RELA/FOS/SP1/VIM/NR4A1/STAT1/STAT3/TRIB3" 9 10.0082706766917
"GO:0030099" "myeloid cell differentiation" "8/28" "219/8874" 2.45973716867065e-07 1.97516894644253e-05 1.19103062904052e-05 "NFKBIA/JUN/FOS/ETS1/STAT1/STAT3/GATA3/CDK6" 8 11.5772994129159
"GO:0051090" "regulation of DNA-binding transcription factor activity" "8/28" "243/8874" 5.45150333093901e-07 3.36735167288002e-05 2.03051945929712e-05 "CHUK/IKBKB/NFKBIA/RELA/IKBKG/BCL3/SMAD3/STAT3" 8 10.4338624338624
"GO:0043010" "camera-type eye development" "6/28" "170/8874" 1.20155124418063e-05 0.000311240531960337 0.000187678632367772 "JUN/VIM/HDAC1/SMAD3/STAT3/GATA3" 6 11.1857142857143
"GO:0009612" "response to mechanical stimulus" "5/28" "106/8874" 1.74690328739122e-05 0.000368497401449001 0.000222204633501397 "NFKBIA/RELA/JUN/FOS/STAT1" 5 14.949460916442
"GO:0001525" "angiogenesis" "7/28" "278/8874" 1.8470134264347e-05 0.000370787945356766 0.000223585835831569 "JUN/SP1/ETS1/BRCA1/NR4A1/STAT1/STAT3" 7 7.98021582733813
"GO:0010631" "epithelial cell migration" "6/28" "200/8874" 3.02761727123446e-05 0.000486235333760254 0.000293200830477442 "JUN/SP1/SNAI1/ETS1/NR4A1/GATA3" 6 9.50785714285714
"GO:0090132" "epithelium migration" "6/28" "200/8874" 3.02761727123446e-05 0.000486235333760254 0.000293200830477442 "JUN/SP1/SNAI1/ETS1/NR4A1/GATA3" 6 9.50785714285714
"GO:0000302" "response to reactive oxygen species" "5/28" "133/8874" 5.22481411557968e-05 0.000762822860874634 0.000459983635055819 "CHUK/RELA/JUN/FOS/STAT1" 5 11.9146079484425
"GO:0042110" "T cell activation" "6/28" "241/8874" 8.59677224568471e-05 0.00106203201742843 0.00064040732518461 "MAP3K8/BCL3/SMAD3/STAT3/GATA3/CDK6" 6 7.89033787788974
"GO:0045785" "positive regulation of cell adhesion" "6/28" "243/8874" 8.99964362292732e-05 0.0010786140043598 0.000650406294822713 "MAP3K8/RELA/ETS1/SMAD3/GATA3/CDK6" 6 7.82539682539683
"GO:0051098" "regulation of binding" "6/28" "262/8874" 0.000136326747040824 0.00149959421744907 0.000904258163500782 "NFKBIA/JUN/BCL3/SMAD3/GATA3/TRIB3" 6 7.25790621592148
"GO:0048511" "rhythmic process" "5/28" "166/8874" 0.000149565643884881 0.00162298935188594 0.000978665664111596 "CREBBP/SP1/KDM2A/NFKB2/HDAC1" 5 9.5460413080895
"GO:0045786" "negative regulation of cell cycle" "5/28" "289/8874" 0.00187820252732682 0.0110277164248109 0.00664973396527892 "TP53BP2/BRCA1/NR4A1/GATA3/CDK6" 5 5.48319327731093
