"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count" "FoldEnrichment"
"GO:2000630" "positive regulation of miRNA metabolic process" "13/50" "58/16001" 1.41102993839698e-21 1.7313337344131e-18 9.90691546221882e-19 "RELA/JUN/FOS/NFKB1/NR3C1/MYC/ETS1/TP53/SMAD3/STAT3/EGR1/GATA3/IL10" 13 71.7286206896552
"GO:0071356" "cellular response to tumor necrosis factor" "13/50" "225/16001" 1.33093034228014e-13 2.33293075711104e-11 1.33493314030203e-11 "CHUK/IKBKB/NFKBIA/RELA/FOS/NFKB1/BIRC3/BRCA1/CCL5/TP53/SIRT1/STAT1/GATA3" 13 18.4900444444444
"GO:0007249" "I-kappaB kinase/NF-kappaB signaling" "13/50" "293/16001" 3.86296512724975e-12 5.26650912348382e-10 3.01356460804162e-10 "CHUK/IKBKB/NFKBIA/NFKBIB/RELA/IKBKG/BCL3/BIRC3/HDAC1/SIRT1/STAT1/TNIP1/CFLAR" 13 14.1988395904437
"GO:0071560" "cellular response to transforming growth factor beta stimulus" "10/50" "257/16001" 5.60273054410773e-09 5.72879198135015e-07 3.27808883589461e-07 "CREBBP/JUN/FOS/NR3C1/TP53/HDAC1/SIRT1/SMAD3/STAT3/CFLAR" 10 12.452140077821
"GO:0050679" "positive regulation of epithelial cell proliferation" "9/50" "210/16001" 1.53009079946292e-08 1.34101529352929e-06 7.67346288151707e-07 "JUN/SP1/MYC/NR4A1/SIRT1/STAT3/CFLAR/AR/IL10" 9 13.7151428571429
"GO:0062014" "negative regulation of small molecule metabolic process" "7/50" "101/16001" 2.58678373322357e-08 2.11598909377688e-06 1.21079631583166e-06 "NFKB1/SNAI1/BRCA1/TP53/SIRT1/STAT3/TRIB3" 7 22.179603960396
"GO:0071216" "cellular response to biotic stimulus" "9/50" "239/16001" 4.68054634670746e-08 3.19057242633892e-06 1.82568679137653e-06 "NFKBIA/NFKBIB/RELA/NFKB1/CCL5/TP53/VIM/TNIP1/IL10" 9 12.0509623430962
"GO:0071478" "cellular response to radiation" "8/50" "186/16001" 1.01438348972393e-07 6.55078179942768e-06 3.74844203681917e-06 "CREBBP/MYC/BRCA1/CCND2/TP53/SIRT1/EGR1/GATA3" 8 13.7643010752688
"GO:0032868" "response to insulin" "9/50" "269/16001" 1.28710361073135e-07 7.52036252555888e-06 4.30324866344767e-06 "FOS/SP1/SOCS3/SIRT1/STAT1/CFLAR/EGR1/IL10/TRIB3" 9 10.7069888475836
"GO:0051055" "negative regulation of lipid biosynthetic process" "5/50" "54/16001" 6.8375548751854e-07 2.70634833285564e-05 1.54860750483826e-05 "NFKB1/SNAI1/BRCA1/SIRT1/TRIB3" 5 29.6314814814815
