source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition
P35869	Q9ULH1	1	0	0	0	0	0
P35869	P04798	1	1	0	1	1	0
P35869	P05177	1	0	0	0	0	0
P35869	Q16678	1	1	0	1	1	0
P35869	P11308	1	0	0	0	0	0
P35869	P01100	1	0	0	0	0	0
P35869	P01106	1	0	0	0	0	0
P35869	P19224	1	0	0	0	0	0
P35869	Q14135	1	0	0	0	0	0
P10275	P61221	1	0	0	0	0	0
P10275	Q6JQN1	1	0	0	0	0	0
P10275	P15309	1	0	0	0	0	0
P10275	P02765	1	0	0	0	0	0
P10275	Q12802	1	0	0	0	0	0
P10275	P15121	1	0	0	0	0	0
P10275	P42330	1	0	1	1	0	1
P10275	P31749	1	1	0	1	1	0
P10275	P10696	1	0	0	0	0	0
P10275	Q9UM13	1	0	0	0	0	0
P10275	Q96CW1	1	0	0	0	0	0
P10275	Q92624	1	0	0	0	0	0
P10275	P18850	1	0	0	0	0	0
P10275	Q13315	1	0	0	0	0	0
P10275	P23634	1	0	0	0	0	0
P10275	Q9NXR7	1	0	0	0	0	0
P10275	O75531	1	0	0	0	0	0
P10275	P43251	1	0	0	0	0	0
P10275	Q16589	1	0	0	0	0	0
P10275	P01730	1	0	0	0	0	0
P10275	Q99741	1	1	0	1	1	0
P10275	P19022	1	1	0	1	1	0
P10275	O76039	1	0	0	0	0	0
P10275	P38936	1	1	0	1	1	0
P10275	Q99967	1	0	0	0	0	0
P10275	Q13057	1	0	0	0	0	0
P10275	P23786	1	0	0	0	0	0
P10275	P54107	1	0	0	0	0	0
P10275	O14529	1	0	0	0	0	0
P10275	P99999	1	0	0	0	0	0
P10275	P07108	1	1	0	1	1	0
P10275	P20711	1	0	0	0	0	0
P10275	P30046	1	1	0	1	1	0
P10275	O43143	1	1	0	1	1	0
P10275	Q15700	1	0	0	0	0	0
P10275	Q96AZ1	1	0	0	0	0	0
P10275	P00533	1	1	0	1	1	0
P10275	Q13347	1	0	0	0	0	0
P10275	P78545	1	0	0	0	0	0
P10275	P21860	1	1	0	1	1	0
P11308	P10275	1	0	0	0	0	0
P03372	P10275	1	1	0	1	1	0
P10275	P11474	1	0	0	0	0	0
P10275	O00167	1	0	0	0	0	0
P10275	O94988	1	0	0	0	0	0
P10275	Q3ZCQ3	1	0	0	0	0	0
P10275	Q13451	1	1	0	1	1	0
P10275	P55317	1	0	0	0	0	0
O43524	P10275	1	1	0	1	1	0
P10275	Q14802	1	0	0	0	0	0
P10275	P35754	1	0	0	0	0	0
P10275	P36915	1	0	0	0	0	0
P10275	Q13322	1	0	0	0	0	0
P10275	P35269	1	0	0	0	0	0
P10275	Q16778	1	0	0	0	0	0
P10275	Q14469	1	0	0	0	0	0
P10275	P52789	1	0	0	0	0	0
P10275	P13747	1	0	0	0	0	0
P10275	P09651	1	0	0	0	0	0
P10275	Q8NBQ5	1	0	0	0	0	0
P10275	P80217	1	0	0	0	0	0
P10275	P08069	1	1	0	1	1	0
P10275	P17936	1	0	0	0	0	0
P10275	P01857	1	0	0	0	0	0
P10275	P14778	1	0	0	0	0	0
P10275	Q14571	1	0	0	0	0	0
P10275	Q15811	1	0	0	0	0	0
P10275	P05412	1	1	0	0	0	0
P10275	Q12809	1	0	0	0	0	0
P10275	O94953	1	0	0	0	0	0
P10275	Q5T5P2	1	0	1	1	0	1
P10275	Q13887	1	0	0	0	0	0
P10275	P20151	1	1	0	1	1	0
P10275	P07288	1	1	0	1	1	0
P10275	Q9Y5K2	1	1	0	1	1	0
P10275	P05783	1	1	0	1	1	0
P10275	P05787	1	0	0	0	0	0
P10275	Q15031	1	0	0	0	0	0
P10275	P42702	1	0	0	0	0	0
P10275	Q15648	1	0	0	0	0	0
P10275	O15344	1	0	0	0	0	0
P10275	P08473	1	0	0	0	0	0
P10275	P45452	1	0	0	0	0	0
P10275	Q92552	1	0	0	0	0	0
P10275	P02795	1	0	0	0	0	0
P10275	P15941	1	0	1	1	0	1
P10275	P01106	1	0	0	0	0	0
P10275	Q15746	1	0	0	0	0	0
P10275	Q15596	1	0	1	1	0	1
P10275	Q9Y618	1	0	0	0	0	0
P10275	Q92597	1	0	0	0	0	0
P10275	Q14511	1	0	0	0	0	0
P10275	O00712	1	0	0	0	0	0
P19838	P10275	1	0	1	1	0	1
P10275	Q99801	1	1	0	0	0	0
P10275	Q8N0W4	1	0	0	0	0	0
P10275	Q9Y5B8	1	0	0	0	0	0
P10275	Q14207	1	0	0	0	0	0
P10275	P55786	1	0	0	0	0	0
P10275	P35658	1	0	0	0	0	0
P10275	P02763	1	0	0	0	0	0
P10275	P19652	1	0	0	0	0	0
P10275	Q13608	1	0	0	0	0	0
P10275	P20142	1	1	0	1	1	0
P10275	P01833	1	0	0	0	0	0
P10275	Q13526	1	0	0	0	0	0
P10275	Q13794	1	0	0	0	0	0
P10275	Q969W9	1	1	0	1	1	0
P10275	P41247	1	0	0	0	0	0
P10275	Q12796	1	0	0	0	0	0
P10275	Q14738	1	0	0	0	0	0
P10275	P78395	1	0	0	0	0	0
P10275	Q05655	1	1	0	1	1	0
P10275	P16471	1	0	0	0	0	0
P10275	P60891	1	0	0	0	0	0
P10275	P35354	1	0	1	1	0	1
P10275	P43378	1	0	0	0	0	0
P10275	P28827	1	0	0	0	0	0
P10275	O00391	1	0	0	0	0	0
P10275	P38159	1	0	0	0	0	0
P10275	Q93062	1	0	0	0	0	0
P10275	Q04206	1	0	1	1	0	1
Q04206	P10275	1	0	1	0	0	0
P10275	P34096	1	0	0	0	0	0
P10275	Q01196	1	0	0	0	0	0
P10275	Q12770	1	1	0	1	1	0
P10275	P37088	1	0	0	0	0	0
P10275	Q99470	1	0	0	0	0	0
P10275	P36952	1	0	1	1	0	1
P10275	Q99574	1	0	0	0	0	0
P10275	Q02978	1	0	0	0	0	0
P10275	P51531	1	0	0	0	0	0
P10275	P52788	1	1	0	1	1	0
