logFC	adj.P.Val	Gene Symbol	Probeset Type
-1.608036966667985	1.87527484812133e-05	LGALS8	even
-2.97407633723796	2.4649227581518503e-09	LOX	odd
-1.689398742699	0.0004875768076073	FYN	odd
-2.06999057033972	2.32603510914331e-07	SULF1	odd
-0.8643465081050267	2.37884791510995e-07	GALC	even
-1.7734202481580201	2.37884791510995e-07	TRAM2	even
-1.599094266486	2.66759750942808e-07	ZNF415	odd
-1.46219602743903	5.59640309964571e-06	PARVA	odd
-0.8188313882550045	3.21990829674052e-07	ARHGEF10	even
-1.93919708298996	1.41874246866691e-05	USP46	odd
-2.54502855371594	5.54309288419069e-07	CA10	odd
-2.30596537985043	6.04658562940121e-07	ARHGAP19	even
-1.615312736073685	7.84789755112619e-07	CERS6	even
-1.4086439580429504	7.84789755112619e-07	DPYSL3	even
-1.65702846008701	8.7903754704906e-07	MPP5	odd
-2.18025502695146	1.12069599992787e-06	TCF7L1	odd
-2.96111352171183	1.19590846035301e-06	NPHS1	odd
-2.33695924811824	1.21141266962951e-06	ZNF185	odd
-2.12655547939363	1.21141266962951e-06	C1orf21	odd
-1.59157626243716	1.53945091420504e-06	BTG3	odd
-1.44422083814202	1.5683522814617e-06	SLC31A2	odd
-1.86826324418334	1.5683522814617e-06	CCDC91	odd
-1.5119658750250151	7.88286472568719e-06	ARRB1	even
-1.46276197779693	1.76709023976801e-06	ANXA2	odd
-2.6821033496565647	1.74447506679105e-06	B3GALT2	even
-0.9059144326854721	1.77918883265835e-05	BMP7	even
-3.0159729622794	1.76709023976801e-06	PRKAR2B	odd
-1.05144306413455	1.8299040913728e-06	WBP5	odd
-0.271796860431078	0.248873283605381	FBXO9	odd
-0.728680190326104	0.0222054353829642	CACNB2	odd
-2.2507788732486	2.24210297013761e-06	TGFBR3	odd
-2.09258858645905	2.38305083196797e-06	KLF7	odd
-1.11508855847961	2.38305083196797e-06	RABL3	odd
-1.995173742464535	2.38305083196797e-06	SEMA5A	even
-0.9429063363675245	0.0008349844801402	FAM134B	even
-1.71579085885403	2.41889617810118e-06	FBXL7	odd
-2.22755599829341	2.82801014353244e-06	DACH1	even
-1.10169742870044	2.82801014353244e-06	HIVEP2	even
-0.930708230357455	3.14142416222641e-06	SEPT7	even
-2.05131312862068	3.17629216827326e-06	CORO2B	odd
-1.3664917960040701	3.7654266995089e-06	TJP1	even
-2.87709885766481	3.87783312815943e-06	MAGI2	even
-1.0111919265200235	0.0001208093653835	ARHGEF12	even
-1.03931516214953	4.06123340382763e-06	TNS3	odd
-3.1007374531742	1.77918883265835e-05	PLCE1	odd
-1.028653223113384	4.9495374426162e-06	FAM20B	even
-2.82389560827519	4.9495374426162e-06	DPP6	odd
-0.620798140085439	0.0063043002255934	PDPN	odd
-0.46205676455305106	5.14789391134434e-06	MRPS14	even
-1.37763137267874	5.16357683876224e-06	LEPREL1	odd
-0.9030502764204144	6.83994559132397e-06	PNMA2	even
-0.778600114547643	7.14140467557568e-06	ERCC5	odd
-0.11006586760514	0.466759651648448	CAV2	odd
-1.32760132352022	7.80141135649232e-06	SGCE	odd
-1.14731792748597	8.74033539147003e-06	ZNF211	odd
-1.164690400563439	8.83202938899521e-06	CITED2	even
-1.68626557050597	8.83202938899521e-06	CXADR	odd
-0.729478333325957	8.83202938899521e-06	EIF3M	odd
-0.92157932705347	0.0017112285760275	CTDSPL	odd
-1.0771150277837052	8.83202938899521e-06	EFEMP1	even
-1.37771039555344	9.09213610432277e-06	FANCL	odd
1.92235977525719	9.58932011215975e-06	C1QA	odd
-1.93846934049524	1.0491841317389e-05	GJA1	odd
-1.95453446379271	1.08195462686849e-05	LOC728392	odd
-1.06430442499025	1.09460702418053e-05	ARMCX1	odd
-1.15158275243889	3.25889995414123e-05	APBB2	odd
-1.71342248759603	0.0029714327568237	EXPH5	odd
-1.38814358822269	1.09550163469081e-05	TACC2	even
-2.59048721150309	1.09550163469081e-05	KLK6	odd
-1.29745696730963	1.09550163469081e-05	GTF2A2	odd
-0.826313069584907	0.0064097087745572	SDC2	odd
-0.6276153988653055	1.13635583338485e-05	HNRNPA0	even
-1.08566140131903	1.15358513626814e-05	TSPYL4	odd
-1.22135474416617	1.15358513626814e-05	ANKRD28	odd
-1.277892557538607	2.94823748234056e-05	ST3GAL6	even
-0.89928572097298	1.15358513626814e-05	DQ597730 /// LRRC37A2	odd
-2.017862121377095	1.1685209623042e-05	F5	even
-0.4558052272993435	0.006577767728479	PAFAH1B1	even
-3.24124192690755	1.36996038351191e-05	TNNT2	odd
-1.19030019489473	1.42061898664742e-05	B3GNT1	odd
-1.09473045630684	1.45805109493002e-05	POGLUT1	odd
-1.29289475089175	1.46996803931814e-05	PVRL2	odd
-1.057442819731155	1.57190075266008e-05	C2orf68	even
-1.210986568201255	0.0001164117214143	LOC100996724 /// LOC100996761 /// LOC101929792 /// LOC101930416 /// PDE4DIP	even
-1.311760244333844	1.617942843698e-05	CD200	even
-2.37918124871949	1.617942843698e-05	THSD7A	even
-1.74443298428794	1.68389839958113e-05	NRIP2	odd
-0.580050741834825	0.0069045767762209	ERP44	odd
-3.16575035563146	1.74069234000055e-05	LRRC2	odd
-1.516074326173415	1.77918883265835e-05	MME	even
-1.25698705434194	0.0049283279602135	SEPT11	odd
-1.54460913426403	1.87190634305811e-05	KBTBD11	odd
-0.6434544912610285	1.88718654800977e-05	LARGE	even
-2.1077501065944	1.92485089560862e-05	H2AFJ	odd
-0.9514387571016696	1.99496397584246e-05	SSBP2	even
-0.9219591413664925	1.99496397584246e-05	MDFIC	even
-1.07422196985589	2.0336096710928e-05	SYBU	odd
-0.9705516994726695	2.26893553727758e-05	PON2	even
-2.5094800189101	2.32017751099103e-05	SYNPO	odd
-1.91944914237971	2.36637798418313e-05	F2R	odd
-0.798902039794336	0.0008605737618246	GULP1	even
-1.03061583436794	2.52869686358243e-05	ZNF274	odd
-0.808582348565537	0.0041516114408628	SPTAN1	even
-1.00703506860398	2.54563034385147e-05	CRYZL1	odd
-0.180709685682571	0.588283668445815	SYNJ2	odd
-0.0059669335588541	0.977489108287122	RECK	odd
-1.51718058012749	2.71347935035244e-05	ZFPM2	odd
-0.6350567022989637	2.77386863838043e-05	ATP9A	even
-1.9247475342647649	2.88647651035752e-05	FAM65A	even
0.873251886115075	2.94823748234056e-05	GGT5	odd
-3.58600281473951	3.13811303797015e-05	CHI3L1	odd
-1.42324487334487	3.13811303797015e-05	STXBP1	odd
0.0868549067032224	0.690222683608191	SNX1	even
-1.27736848438111	3.25889995414123e-05	NFE2L3	odd
-1.0812158021079799	3.29988978829681e-05	UBAP2	even
-0.660280317214408	0.008603205473898	KIAA0368	odd
-0.950575920181871	3.38173627975395e-05	SQRDL	odd
-1.4518539645021	3.42247934544378e-05	FOXD1	odd
-2.25603544523758	3.43381756765962e-05	ZDHHC6	odd
-2.54236833491576	3.4406757505125e-05	TCF21	odd
-0.811385704364025	3.4406757505125e-05	CEP112	odd
-0.516080591607196	3.48875858859047e-05	LARP7	even
-1.20266935608928	3.48875858859047e-05	NEK7	odd
-0.024908643386726	0.860678393450832	MAPRE2	odd
-0.6389047607900159	3.77282990598975e-05	CLCC1	even
-1.7954729371183	3.90464426715981e-05	ARHGEF3	odd
-1.50625182662954	4.06221159374314e-05	CTNNBIP1	odd
-0.4397447882113237	4.11477377537504e-05	C7orf55-LUC7L2 /// LUC7L2	even
-0.6755181672381545	4.13740514372324e-05	CTC-338M12.4	even
-1.64440033813026	4.36944715690166e-05	MCM6	odd
-2.10825428179197	0.0001929195907093	CDC42EP3	odd
-0.778878600938743	0.0026523497000881	AURKAPS1 /// RAB3GAP2	odd
0.0122564708468866	0.957612732267594	DLC1	odd
-1.9492619537573599	4.62567766253082e-05	GPRC5A	even
0.3485486470062837	4.65881483632492e-05	MMP11	even
-0.0278148429848564	0.942179843944839	CDC14A	odd
-1.68118667324748	4.67607427267016e-05	MXRA8	odd
-0.4846605476416412	4.67648454148649e-05	PTPRA	even
-0.40260733687553	0.346679236034795	SH3GLB1	odd
-1.36184990901466	4.67648454148649e-05	BCAR3	odd
-1.11305766363654	4.67648454148649e-05	KLHL3	odd
-1.25671581758265	4.706409580969e-05	ANXA2P2	odd
-0.452999311384456	0.0403697019880849	DIAPH2	odd
-2.47671797976325	4.76790223983981e-05	SRGAP2 /// SRGAP2B /// SRGAP2C	odd
-1.53373570332554	4.77473090134863e-05	STON1	odd
-0.0236691026440567	0.960854523499392	CTNND1 /// TMX2-CTNND1	odd
1.76202303465054	4.77473090134863e-05	SERPINE2	odd
-0.87743261281057	4.89680372430807e-05	GNE	odd
2.20598689023178	5.19124363378047e-05	C1QB	odd
-1.22426177406815	5.24305953618872e-05	TSPYL5	odd
-0.7270176397302736	5.26947967090263e-05	RAPGEF3	even
-0.29447255226043095	5.31666523911295e-05	SLC25A4	even
-1.12119430379084	0.0001773697572031	AKT3	odd
0.0483636364769717	0.946997422083568	SCAMP1	odd
-0.775889709306347	0.0003785956002807	ITGB5	even
-1.2957842315856	5.80518923651232e-05	ZNF423	odd
-1.10657542151084	5.85877687252615e-05	KAT2B	odd
-0.718172367347641	5.85877687252615e-05	MAGEL2	odd
-0.0097993863938779	0.977552060039385	PTPRN2	odd
-1.1096994129813	5.88260570283908e-05	FERMT2	odd
0.960086056052719	0.018866139908349	ACTN1	odd
-1.62888062967772	5.95275421862246e-05	FGF9	odd
1.006415073591	5.95275421862246e-05	ADRA2A	odd
-0.0677864983552787	0.60221399589648	MBD2	even
-1.09554907033391	6.13836072286657e-05	NAP1L2	odd
-0.5994196073678745	6.14963856751047e-05	CEP63	even
-0.596031737214828	0.159504815497229	TUSC3	odd
-1.35212109086644	6.14963856751047e-05	NDN	odd
-0.23832795666955175	0.0275344916440035	VPS13D	even
0.617755919941077	6.43907886109062e-05	PPAP2C	odd
-0.326916195883554	0.210980813709792	SENP6	odd
-1.5343947760329248	8.76834388695949e-05	VEGFA	even
-0.786441454768045	6.49719405372972e-05	XPA	odd
-1.2236785788521811	6.49719405372972e-05	MGAT5	even
-0.8982357894996978	6.49719405372972e-05	GRK5	even
-1.0187269388618534	6.66129833821204e-05	NEDD9	even
1.19433674546681	6.67558610265719e-05	OLFML3	odd
-1.12351318217059	6.67558610265719e-05	CETN3	odd
-0.7550811476937129	6.67558610265719e-05	MAN2A2	even
-0.9812695210911386	6.71327210027691e-05	GAS1	even
-1.015465467803185	6.76265946525746e-05	TPM2	even
-0.9125779179980885	6.85290717488595e-05	BCAM	even
0.823653970599705	7.31772576247933e-05	PCOLCE	odd
-1.85513179206103	7.32711957115036e-05	ELOVL4	odd
0.0109823938694897	0.956210923058943	PDE4B	odd
-0.94349577627875	7.46923735343057e-05	PJA1	odd
-0.788373017619822	0.0015160188822193	SAP18	odd
-1.87734110471828	7.46923735343057e-05	NTNG1	odd
-0.92666738024925	7.47614513632661e-05	PMEPA1	odd
-1.246278158575512	7.75256739863089e-05	ETS2	even
-2.68224250864057	7.75256739863089e-05	LPL	even
-0.198001741361916	0.279054342708553	AP4S1	odd
-1.535170546645665	0.0001929195907093	AIF1	even
-1.06848156776249	8.26335583269655e-05	UGGT2	odd
-0.6238285139909645	8.46755867221404e-05	SGCB	even
-0.9216932829730795	9.04106866795287e-05	SPARC	even
-0.7609678105009294	9.04106866795287e-05	CAPN2	even
1.4242987566789	9.08646311707106e-05	RNASE6	odd
1.01384257046664	9.08646311707106e-05	TMPRSS4	odd
-0.806078398482923	9.17725438780708e-05	UPF3B	odd
-1.81457643358901	9.38525908902316e-05	HPS5	odd
-0.5017812029942632	9.38525908902316e-05	PRKD1	even
-0.87558611208668	9.56907957810272e-05	TERF2IP	odd
-1.6268574689472302	9.67533405455342e-05	SPOCK2	even
-0.6485486841123025	0.0003684060361243	SIK3	even
-0.870096183567546	9.68230161476935e-05	DAG1	even
-1.20042650049616	9.68230161476935e-05	MYO1E	odd
-1.86413047199745	9.79118624414969e-05	WT1-AS	odd
-2.00027157559892	0.000108612623388	FRY	odd
-0.5488777500086385	0.000100293231286	METTL5	even
-1.42437275013569	0.000100293231286	MYO5C	odd
-1.29886416327809	0.0001007633602105	ITGA3	odd
-0.9391319614074244	0.0001049596353256	GRIK2	even
-0.01484843097533185	0.154516538379801	DST	even
-1.5488127657942	0.0001354316848733	NEBL	odd
-1.455231639401436	0.0005106092816757	SNCA	even
-0.4379624422382075	0.000108612623388	TP73-AS1	even
-1.22425184166799	0.000108612623388	FAM98A	odd
-1.18446292884981	0.000108921377392	RAI14	odd
-2.02347768004203	0.0003084574708208	CDKN1C	even
-1.10186474625021	0.0001100302519627	ANKMY2	odd
0.854855335433668	0.0001100302519627	ITGB7	odd
-1.35540623948874	0.0001122872264248	TENC1	odd
0.118468686931386	0.542649668044619	IDS	odd
-1.93812746946326	0.0001130109520603	MAFB	odd
0.3632016647595355	0.000113363462911	SEPT5-GP1BB	even
-1.09420474531354	0.000113363462911	FBXO21	odd
-1.30078055981529	0.0001148952653121	SOBP	odd
-1.66166704157119	0.0003259431506326	MYOZ2	odd
-0.845687205974436	0.0001180412801295	TAF7	odd
-1.099011377027695	0.0001202516190464	PEA15	even
-0.31947065574942923	0.0679672402176534	PRMT2	even
0.496013316790757	0.0001208093653835	CYTH4	even
-0.583303057385314	0.0096643467568823	FAXDC2	odd
-0.3331714153348598	0.0001259499181208	REEP5	even
-1.99754208669285	0.0001296040301521	CLIC5	odd
-0.701270216882744	0.0001304921569848	OSBPL9	odd
-2.11280648175603	0.0001308211518581	KLK7	odd
-0.0273740680265719	0.862163775383681	COL4A6	odd
-2.70634357948015	0.0001309646661361	SEMA3G	odd
-1.04788402396511	0.0001310230447851	BST1	odd
0.725976934358537	0.0001315897136488	CEBPA	odd
-0.737137950189249	0.0001347565426001	EXOC1	odd
-1.06099854415622	0.0032601508199714	MYO1B	odd
-1.01561597653227	0.0001453326748762	NR3C2	odd
-0.41523386423907205	0.0390433314087775	MAP4	even
1.51714828051198	0.0002823708979054	FN1	even
-0.8012850688464935	0.000145948505277	RFC1	even
-0.39615440808006264	0.0001586536082663	PEX19	even
-0.350651326570755	0.0630932975974183	SIRPA	odd
-0.9095206084383605	0.0001604095422044	SSB	even
-0.0903526343149412	0.818371633831597	PNN	odd
-1.62921019673378	0.0001615197265986	FOXC1	odd
0.714630978020158	0.0001629841295351	SMPD2	odd
-0.72815889703169	0.009158310095583	NCOA1	even
-1.380894665001965	0.0001676567088363	TMOD1	even
-2.78323397108141	0.0001700016487516	TPPP3	odd
-0.7742942790110985	0.0001723802091088	GOLGB1	even
-0.28986374789117747	0.0001740944348519	PPP1R3D	even
-1.33498131155375	0.0001740944348519	IQGAP2	odd
-1.404166564423635	0.0006205444346898	DCN	even
1.31782494322715	0.028291308255856	RARRES1	odd
-1.22911724427793	0.0001848167116718	CREB3L2	odd
-1.86475323923335	0.0001851602501929	HTRA1	odd
-0.871036894494221	0.000186758473641	TDRD7	odd
-1.29302024871659	0.0001870478829587	FAM114A1	odd
-2.2521474214842	0.0001878770392571	ZNF804A	odd
-2.06016864185904	0.0001878770392571	RASL11B	odd
1.074053527460274	0.0001878770392571	LCK	even
-0.846250872336094	0.0001878770392571	PSPC1	odd
-0.8552956586321055	0.0001878770392571	NPR1	even
-0.640533595166037	0.0001888956497356	FTO	odd
1.63502157582032	0.0006448393381743	CD163	odd
0.582881494939924	0.0001929195907093	EDN1	odd
-1.68226590778728	0.0001941816806216	COLGALT2	odd
-1.67703156797825	0.0001966243197274	RASGRP3	odd
-0.744052672925244	0.0001968627974757	CASC3 /// MIR6866	odd
-0.6486641797148389	0.0001990879673478	UBL3	even
-1.60805576500358	0.0001990879673478	JAM3	odd
-1.5654336763812766	0.0001990879673478	NFASC	even
-0.0482617389886116	0.430177590711964	MTSS1	even
-0.53585400861208	0.0024328059387864	LIMK2	odd
0.585992445156717	0.0002075418991158	CD68 /// LOC101928634 /// SNORA67	odd
1.17933279422892	0.0002080729656168	CD1C	odd
-1.80005864254509	0.0002131186577132	GHR	odd
-1.03081102941994	0.0002178066555536	SHROOM2	odd
0.6396713656088999	0.000217845170266	XPNPEP1	even
-0.7074393079129471	0.000219657599932	HMCES	even
-0.275943098329393	0.0002212312685178	TFCP2	even
-1.45295659680132	0.0002243430374994	CLIP3	odd
-2.23714633617121	0.0002248288324154	PLA2R1	even
0.37290521811125	0.0002248288324154	NDUFB7	even
-0.73208263008654	0.0002248288324154	DNTTIP2	odd
