,UniprotID,Gene Name
0,Q14160,SCRIB
1,P22460,KCNA5
2,Q96DN2,VWCE
3,O00429,DNM1L
4,Q99569,PKP4
5,Q96DL1,NXPE2
6,Q9UQB3,CTNND2
7,Q9BR11,ZSWIM1
8,Q9ULI0,ATAD2B
9,P25100,ADRA1D
10,P53778,MAPK12
11,Q9NYB5,SLCO1C1
12,Q15311,RALBP1
13,P33402,GUCY1A2
14,Q9P0K1,ADAM22
15,Q92953,KCNB2
16,O15439,ABCC4
17,P35222,CTNNB1
18,P48065,SLC6A12
19,P81408,FAM189B
20,Q9NQG5,RPRD1B
21,Q6UXZ0,TMIGD1
22,Q92502,STARD8
23,Q8TA94,ZNF563
24,Q9Y6R1,SLC4A4
25,Q9Y466,NR2E1
26,Q8TBB1,LNX1
27,Q12959,DLG1
28,Q6ZTQ3,RASSF6
29,Q96GL9,FAM163A
30,Q86UD3,MARCH3
31,O60333,KIF1B
32,A1A5B4,ANO9
33,Q7Z628,NET1
34,P0C2L3,FAM163B
35,Q9NS75,CYSLTR2
36,Q96SF7,TBX15
37,B7Z2Y1,No Name
38,Q9P021,CRIPT
39,O00192,ARVCF
40,Q9BY21,GPR87
41,Q8NHY3,GAS2L2
42,Q14500,KCNJ12
43,P48050,KCNJ4
44,P12814,ACTN1
45,P35609,ACTN2
46,Q08043,ACTN3
47,O43707,ACTN4
48,Q8IWK6,ADGRA3
49,Q86SQ6,ADGRA1
50,Q96PE1,ADGRA2
51,P22459,KCNA4
52,P04439,HLA-A
53,P01889,HLA-B
54,P67775,PPP2CA
55,P10721,KIT
56,Q14318,FKBP8
57,P07900,HSP90AA1
58,Q9Y297,BTRC
59,Q13177,PAK2
60,P08631,HCK
61,Q15052,ARHGEF6
62,O60504,SORBS3
63,Q9BX66,SORBS1
64,Q8TEJ3,SH3RF3
65,Q13444,ADAM15
66,P07948,LYN
67,P07947,YES1
68,Q8WV41,SNX33
69,Q9UKS6,PACSIN3
70,Q14155,ARHGEF7
71,P16333,NCK1
72,P51681,CCR5
73,Q92608,DOCK2
74,Q8WUA7,TBC1D22A
75,Q9NU19,TBC1D22B
76,A0A0B4J1S8,PI4KB
77,Q9H3P7,ACBD3
78,Q13158,FADD
79,Q92499,DDX1
80,O00571,DDX3X
81,P31483,TIA1
82,Q15599,SLC9A3R2
83,Q7Z434,MAVS
84,Q14141,SEPT6
85,Q9UHD4,CIDEB
86,P12004,PCNA
87,P05787,KRT8
88,Q9UHV9,PFDN2
89,Q13625,TP53BP2
90,Q12888,TP53BP1
91,P04637,TP53
92,Q99836,MYD88
93,O95292,VAPB
94,P17844,DDX5
95,P52630,STAT2
96,Q9UHD2,TBK1
97,P07355,ANXA2
98,P02787,TF
99,Q9BYF1,ACE2
100,P06493,CDK1
101,Q9BRP8,PYM1
102,O95999,BCL10
103,P25963,NFKBIA
104,P52294,KPNA1
105,P52292,KPNA2
106,Q8N4S9,MARVELD2
107,P61925,PKIA
108,Q93100,PHKB
109,Q96RG2,PASK
110,P16220,CREB1
111,P62753,RPS6
112,P14598,NCF1
113,P04004,VTN
114,P20338,RAB4A
115,P08581,MET
116,P01589,IL2RA
117,P20700,LMNB1
118,P49755,TMED10
119,P10415,BCL2
120,P43487,RANBP1
121,O60238,BNIP3L
122,Q12983,BNIP3
123,P02545,LMNA
124,O00716,E2F3
125,Q13547,HDAC1
126,Q99708,RBBP8
127,P24941,CDK2
128,P62333,PSMC6
129,P35998,PSMC2
130,Q13200,PSMD2
131,Q92878,RAD50
132,Q92793,CREBBP
133,Q9UER7,DAXX
134,O15078,CEP290
135,O15259,NPHP1
136,O43303,CCP110
137,O60308,CEP104
138,O75161,NPHP4
139,O75665,OFD1
